ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
83276,"Grace Muneene",F,17,170,58,Zambia,ZAM,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's 400 metres",NA
83280,"Rosanna ""Rosa"" Munerotto",F,25,169,53,Italy,ITA,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's 10,000 metres",NA
83280,"Rosanna ""Rosa"" Munerotto",F,29,169,53,Italy,ITA,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres",NA
83302,"Antnia Munkcsi",F,21,166,55,Hungary,HUN,"1960 Summer",1960,Summer,Roma,Athletics,"Athletics Women's 200 metres",NA
83302,"Antnia Munkcsi",F,21,166,55,Hungary,HUN,"1960 Summer",1960,Summer,Roma,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
83302,"Antnia Munkcsi",F,25,166,55,Hungary,HUN,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's 400 metres",NA
83302,"Antnia Munkcsi",F,25,166,55,Hungary,HUN,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's 4 x 100 metres Relay",NA
83302,"Antnia Munkcsi",F,29,166,55,Hungary,HUN,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's 400 metres",NA
83306,"Svetlana Munkova (Ruban-)",F,31,175,59,Uzbekistan,UZB,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Women's High Jump",NA
83337,"Mara Luisa Muoz Gonzlez",F,41,164,47,Spain,ESP,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's Marathon",NA
83397,"Kabange Mupopo",F,23,170,62,Zambia,ZAM,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 400 metres",NA
83438,"Galina Muraova",F,24,180,92,"Soviet Union",URS,"1980 Summer",1980,Summer,Moskva,Athletics,"Athletics Women's Discus Throw",NA
83438,"Galina Muraova",F,32,180,92,"Soviet Union",URS,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's Discus Throw",NA
83451,"Friederike ""Friedl"" Murauer",F,22,164,62,Austria,AUT,"1960 Summer",1960,Summer,Roma,Athletics,"Athletics Women's 80 metres Hurdles",NA
83455,"Lyudmila Muravyova",F,27,174,92,"Soviet Union",URS,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's Discus Throw",NA
83455,"Lyudmila Muravyova",F,31,174,92,"Soviet Union",URS,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's Discus Throw",NA
83464,"Rosario Murcia (-Gangloff)",F,27,160,44,France,FRA,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres",NA
83478,"Fabiana de Almeida Murer",F,27,172,58,Brazil,BRA,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's Pole Vault",NA
83478,"Fabiana de Almeida Murer",F,31,172,58,Brazil,BRA,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Pole Vault",NA
83478,"Fabiana de Almeida Murer",F,35,172,58,Brazil,BRA,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Pole Vault",NA
83482,"Elena Murgoci (-Florea)",F,32,165,49,Romania,ROU,"1992 Summer",1992,Summer,Barcelona,Athletics,"Athletics Women's Marathon",NA
